INDEX,Street Name,Limit 1,Limit 2,Full Location Names 2023,Facility Type,Ped_Total,Ped_Female_Total,Ped_Male_Total,Ped_MobAssist_Total,Ped_Stroller_Total,Ped_Weekday_Total,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female_Total,Bike_Male_Total,Bike_Sidewalk_Total,Bike_ContraFlow_Total,Bike_Helmet_Total,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female_Total,Scooter_Male_Total,Scooter_Sidewalk_Total,Scooter_ContraFlow_Total,Scooter_Helmet_Total,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female_Total,Other_Male_Total,Other_Sidewalk_Total,Other_ContraFlow_Total,Other_Helmet_Total,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Latitude,Longitude
23-46,Roscoe Blvd,Van Nuys Bl,Tobias Av,Roscoe Blvd bw Van Nuys Bl & Tobias Av,None,409,107,302,0,7,326,87,239,0,7,83,20,63,0,0,57,4,53,44,1,7,49,4,45,38,0,7,8,0,8,6,1,0,11,1,10,11,0,2,11,1,10,11,0,2,0,0,0,0,0,0,16,0,16,12,1,5,12,0,12,12,0,1,4,0,4,4,0,0,34.221443,-118.449537
23-47,Rosewood Ave,Fairfax Ave,Orange Grove Ave,Rosewood Ave bw Fairfax Ave & Orange Grove Ave,None,507,206,301,1,3,301,130,171,1,1,206,76,130,0,2,31,6,25,16,0,8,15,0,15,3,0,5,16,6,10,13,0,3,13,1,12,4,0,1,10,1,9,3,0,1,3,0,3,1,0,0,6,0,6,5,0,1,5,0,5,5,0,0,1,0,1,0,0,0,34.080185,-118.360757
23-48,Rowena Ave,Herkimer St,Silver Lake Dr,Rowena Ave bw Herkimer St & Silver Lake Dr,Lane,1426,659,767,0,44,1312,618,694,0,44,114,41,73,0,0,101,13,88,7,5,79,76,9,67,5,2,61,25,4,21,2,3,18,3,0,3,2,0,1,2,0,2,1,0,1,1,0,1,1,0,0,7,0,7,1,0,3,4,0,4,1,0,0,3,0,3,1,0,0,34.10819,-118.267365
23-50,San Vicente,Hauser,Curson,San Vicente bw Hauser & Curson,Protected Lane,166,74,92,0,4,117,53,64,0,4,49,21,28,0,0,44,3,41,0,1,26,35,3,32,0,1,22,9,0,9,0,0,4,14,1,13,0,3,2,11,1,10,0,2,2,3,0,3,0,1,0,3,0,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,34.054034,-118.355044
23-51,Santa Monica Blvd,Western Ave,St Andrews Pl,Santa Monica Blvd bw Western Ave & St Andrews Pl,None,1550,618,932,3,33,1064,454,610,2,23,486,164,322,1,10,115,9,106,102,0,5,95,8,87,84,0,4,20,1,19,18,0,1,32,2,30,28,0,2,22,0,22,21,0,1,10,2,8,7,0,1,14,3,11,12,0,1,13,3,10,12,0,0,1,0,1,1,0,0,34.090794,-118.309722
23-52,Santa Monica Blvd,Westwood Blvd,Glendon Ave,Santa Monica Blvd bw Westwood Blvd & Glendon Ave,Lane,607,185,422,2,5,446,117,329,2,0,161,68,93,0,5,189,24,165,32,1,149,114,17,97,25,1,90,75,7,68,7,0,59,27,3,24,12,0,11,24,2,22,12,0,10,3,1,2,0,0,1,5,0,5,4,2,1,5,0,5,3,1,1,0,0,0,0,0,0,34.04977,-118.436369
23-53,Sepulveda Blvd,Nordhoff St,Tupper St,Sepulveda Blvd bw Nordhoff St & Tupper St,None,801,403,398,1,29,707,371,336,1,26,94,32,62,0,3,40,3,37,27,0,9,28,2,26,20,0,8,12,1,11,7,0,1,10,0,10,7,0,1,9,0,9,6,0,1,1,0,1,1,0,0,10,0,10,7,0,2,8,0,8,7,0,0,2,0,2,1,0,0,34.236522,-118.467454
23-54,Sherman Way,Woodman Ave,Allott Ave,Sherman Way bw Woodman Ave & Allott Ave,None,391,85,306,0,6,315,68,247,0,2,76,17,59,0,4,53,3,50,47,1,5,43,2,41,38,1,5,10,1,9,9,0,0,10,0,10,9,0,4,8,0,8,7,0,4,2,0,2,2,0,0,7,0,7,7,0,0,7,0,7,7,0,0,0,0,0,0,0,0,34.201237,-118.429877
23-55,Silver Lake Blvd,Effie St,Berkeley Ave,Silver Lake Blvd bw Effie St & Berkeley Ave,Lane,816,449,367,2,15,512,259,253,2,12,304,190,114,0,3,111,17,94,4,0,62,88,12,76,2,0,48,23,5,18,2,0,14,5,0,5,1,0,0,4,0,4,1,0,0,1,0,1,0,0,0,2,0,2,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,34.087864,-118.269574
23-56,Slauson Ave,Vermont Ave,Menlo Ave,Slauson Ave bw Vermont Ave & Menlo Ave,None,1036,389,647,2,0,685,295,390,2,0,351,94,257,0,0,61,4,57,31,7,0,46,4,42,26,3,0,15,0,15,5,4,0,10,2,8,6,0,0,7,2,5,5,0,0,3,0,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,33.989137,-118.28998
23-57,Soto St,1st St,Michigan Ave,Soto St bw 1st St & Michigan Ave,None,804,313,491,9,8,648,253,395,4,8,156,60,96,5,0,58,3,55,39,0,7,35,3,32,26,0,5,23,0,23,13,0,2,11,1,10,9,0,1,11,1,10,9,0,1,0,0,0,0,0,0,9,2,7,7,1,1,8,2,6,6,1,0,1,0,1,0,0,0,34.043912,-118.209618
23-58,Spring St,6th St,7th St,Spring St bw 6th St & 7th St,Protected Lane,2867,1111,1756,53,10,2079,790,1289,48,7,788,321,467,5,3,414,31,383,51,0,3,303,21,282,37,0,3,111,10,101,14,0,0,155,25,130,24,0,6,107,19,88,13,0,4,48,6,42,11,0,2,35,1,34,13,2,8,29,1,28,13,0,2,6,0,6,5,0,0,34.045785,-118.25111
23-59,Sunset Blvd,Detroit St,La Brea Av,Sunset Blvd bw Detroit St & La Brea Av,None,811,227,584,1,0,601,153,448,1,0,210,74,136,0,0,60,3,57,43,0,2,44,2,42,35,0,2,16,1,15,8,0,0,43,3,40,35,0,1,31,3,28,28,0,0,12,0,12,7,0,1,4,1,3,0,0,4,0,0,0,0,0,0,4,1,3,4,0,0,34.098045,-118.344897
23-60,Sunset Blvd,Hyperion Ave,Sanborn Ave,Sunset Blvd bw Hyperion Ave & Sanborn Ave,Lane,1940,911,1029,1,10,1143,508,635,0,4,797,403,394,1,6,181,34,147,23,2,1,130,21,109,19,2,1,51,13,38,4,0,0,33,3,30,10,0,3,16,1,15,4,0,2,17,2,15,6,0,1,10,2,8,4,1,5,5,2,3,3,1,0,5,0,5,4,0,0,34.092409,-118.280244
23-61,Temple St,Lake St,Alvarado St,Temple St bw Lake St & Alvarado St,None,484,231,253,2,10,394,202,192,2,7,90,29,61,0,3,40,1,39,23,0,14,30,0,30,18,0,11,10,1,9,5,0,3,22,3,19,19,0,2,19,3,16,16,0,2,3,0,3,3,0,0,6,1,5,6,0,0,6,1,5,6,0,0,0,0,0,0,0,0,34.070567,-118.269028
23-62,Van Nuys Blvd,Remick Av,Laurel Canyon Bl,Van Nuys Blvd bw Remick Av & Laurel Canyon Bl,Protected Lane,159,21,138,2,0,119,19,100,0,0,40,2,38,2,0,58,3,55,34,3,15,44,3,41,26,1,13,14,0,14,8,2,2,6,0,6,4,0,1,5,0,5,4,0,1,1,0,1,0,0,0,5,0,5,4,1,1,5,0,5,4,0,1,0,0,0,0,0,0,34.25833,-118.432707
23-63,Vanowen St,Vesper Ave,Van Nuys Blvd,Vanowen St bw Vesper Ave & Van Nuys Blvd,None,442,135,307,3,10,333,112,221,3,10,109,23,86,0,0,49,1,48,43,0,4,27,0,27,24,0,3,22,1,21,19,0,1,8,0,8,8,0,0,8,0,8,8,0,0,0,0,0,0,0,0,14,0,14,12,0,2,12,0,12,12,0,0,2,0,2,2,0,0,34.193912,-118.450437
23-64,Venice Blvd,2nd Ave,Arlington Ave,Venice Blvd bw 2nd Ave & Arlington Ave,Buffered Lane,368,170,198,6,7,291,135,156,5,5,77,35,42,1,2,105,5,100,20,6,30,81,3,78,16,3,27,24,2,22,4,3,3,28,7,21,8,1,2,23,7,16,8,0,0,5,0,5,0,1,2,2,0,2,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,34.04354,-118.318552
23-65,Venice Blvd,Robertson,National,Venice Blvd bw Robertson & National,Protected Lane,636,200,436,1,0,512,156,356,0,0,124,44,80,1,0,295,10,285,66,14,0,211,7,204,47,10,0,84,3,81,19,4,0,41,5,36,11,1,6,34,4,30,10,1,5,7,1,6,1,0,1,14,5,9,13,0,2,12,5,7,13,0,0,2,0,2,2,0,0,34.028539,-118.389583
23-49,Ventura Blvd,Lindley Ave,Carpenter Ave,Ventura Blvd bw Lindley Ave & Carpenter Ave,Path,698,157,541,0,18,423,69,354,0,16,275,88,187,0,2,29,0,29,15,0,12,21,0,21,10,0,9,8,0,8,5,0,3,5,0,5,5,0,0,4,0,4,4,0,0,1,0,1,1,0,0,7,0,7,2,0,5,2,0,2,2,0,0,5,0,5,5,0,0,34.165611,-118.527782
23-67,Vermont Ave,3rd St,4th St,Vermont Ave bw 3rd St & 4th St,None,964,422,542,6,14,753,326,427,3,10,211,96,115,3,4,113,11,102,96,0,17,89,9,80,78,0,14,24,2,22,18,0,3,57,16,41,42,0,2,48,14,34,37,0,1,9,2,7,5,0,1,16,2,14,15,0,1,15,2,13,15,0,0,1,0,1,0,0,0,34.068353,-118.291672
23-66,Vermont Ave,Florence Ave,73rd St,Vermont Ave bw Florence Ave & 73rd St,None,828,347,481,17,6,642,283,359,14,6,186,64,122,3,0,81,3,78,12,20,16,65,3,62,7,19,15,16,0,16,5,1,1,12,0,12,5,1,1,10,0,10,5,0,1,2,0,2,0,1,0,8,0,8,4,3,1,7,0,7,1,3,0,1,0,1,0,0,0,33.974185,-118.291557
23-68,Victory Blvd,Woodley Ave,Valjean Ave,Victory Blvd bw Woodley Ave & Valjean Ave,Path,253,76,177,5,2,185,58,127,5,0,68,18,50,0,2,185,10,175,23,0,89,128,6,122,17,0,57,57,4,53,6,0,32,16,2,14,4,0,3,13,2,11,3,0,1,3,0,3,1,0,2,7,5,2,1,0,6,1,0,1,1,0,0,6,5,1,1,0,0,34.186708,-118.484084
23-69,Vine St,Sunset Blvd,Del Longpre Ave,Vine St bw Sunset Blvd & Del Longpre Ave,Sharrow,701,303,398,10,6,570,253,317,6,1,131,50,81,4,5,44,5,39,21,3,11,36,5,31,16,2,11,8,0,8,5,1,0,43,7,36,24,2,3,36,7,29,22,2,2,7,0,7,2,0,1,11,2,9,7,1,4,8,2,6,7,0,1,3,0,3,3,0,0,34.097696,-118.326654
23-70,Vineland Ave,Magnolia Blvd,McCormick St,Vineland Ave bw Magnolia Blvd & McCormick St,Buffered Lane,422,139,283,0,5,348,110,238,0,5,74,29,45,0,0,154,7,147,23,3,17,37,6,31,13,3,11,117,1,116,10,0,6,29,6,23,14,3,4,25,6,19,13,3,3,4,0,4,1,0,1,16,0,16,9,0,5,11,0,11,9,0,0,5,0,5,4,0,0,34.165246,-118.370542
23-71,Washington Blvd,Ocean Ave,Grayson Ave,Washington Blvd bw Ocean Ave & Grayson Ave,Lane,1140,304,836,0,15,769,153,616,0,11,371,151,220,0,4,1086,133,953,29,17,223,528,47,481,17,8,8,558,86,472,12,9,215,97,21,76,8,10,17,58,9,49,6,7,11,39,12,27,2,3,6,65,14,51,12,11,33,40,4,36,9,3,8,25,10,15,10,0,7,33.982371,-118.461506
23-73,Western Ave,Sunset Blvd,Harold Way,Western Ave bw Sunset Blvd & Harold Way,None,1333,538,795,5,22,1057,438,619,5,17,276,100,176,0,5,110,15,95,53,11,10,82,11,71,40,11,6,28,4,24,13,0,4,45,8,37,29,3,1,37,5,32,24,3,1,8,3,5,5,0,0,12,2,10,8,0,4,8,1,7,8,0,0,4,1,3,4,0,0,34.098742,-118.309229
23-72,Western Ave,Wilshire Bl,7th St,Western Ave bw Wilshire Bl & 7th St,None,1562,684,878,17,12,1201,533,668,8,12,361,151,210,9,0,101,5,96,81,1,9,80,4,76,66,1,7,21,1,20,15,0,2,45,5,40,37,0,0,41,5,36,34,0,0,4,0,4,3,0,0,19,1,18,15,0,4,15,1,14,15,0,0,4,0,4,4,0,0,34.061194,-118.309113
23-74,Westwood Blvd,Weyburn Av,Le Conte Av,Westwood Blvd bw Weyburn Av & Le Conte Av,None,5492,2849,2643,17,10,4853,2593,2260,14,7,639,256,383,3,3,188,25,163,14,0,116,173,25,148,12,0,110,15,0,15,2,0,6,206,55,151,54,0,12,181,42,139,48,0,11,25,13,12,6,0,1,29,8,21,22,0,1,28,8,20,22,0,0,1,0,1,1,0,0,34.063422,-118.445318
23-75,Wilmington Ave,112th St,111th St,Wilmington Ave bw 112th St & 111th St,None,338,119,219,3,3,234,79,155,3,3,104,40,64,0,0,57,2,55,21,7,4,43,2,41,18,6,2,14,0,14,3,1,2,3,2,1,0,2,0,3,2,1,0,2,0,0,0,0,0,0,0,6,0,6,3,1,1,5,0,5,2,1,0,1,0,1,0,0,0,33.933833,-118.239018
23-77,Wilshire Blvd,Manhattan Pl,Western Av,Wilshire Blvd bw Manhattan Pl & Western Av,None,1186,542,644,10,16,891,428,463,7,13,295,114,181,3,3,135,9,126,114,0,2,112,7,105,96,,,23,2,21,18,0,2,59,18,41,52,0,1,49,15,34,43,0,1,10,3,7,9,0,0,10,1,9,5,0,5,5,0,5,5,0,0,5,1,4,5,0,0,34.06169,-118.310291
23-76,Wilshire Blvd,Manning Ave,Westholme Ave,Wilshire Blvd bw Manning Ave & Westholme Ave,Lane,332,151,181,2,12,273,118,155,2,11,59,33,26,0,1,38,3,35,9,1,25,29,3,26,6,1,18,9,0,9,3,0,7,16,5,11,5,1,3,13,5,8,4,1,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.061269,-118.434443
23-78,York Blvd,Ave 50,Ave 51,York Blvd bw Ave 50 & Ave 51,Lane,1744,863,881,3,29,863,399,464,0,24,881,464,417,3,5,117,15,102,10,2,79,80,11,69,7,1,48,37,4,33,3,1,31,5,1,4,1,0,1,5,1,4,1,0,1,0,0,0,0,0,0,6,2,4,1,1,4,2,0,2,0,1,0,4,2,2,3,0,1,34.12142,-118.206431
