INDEX,Street Name,Limit 1,Limit 2,Full Location Names 2023,Facility Type,Ped_Total,Ped_Female_Total,Ped_Male_Total,Ped_MobAssist_Total,Ped_Stroller_Total,Ped_Weekday_Total,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female_Total,Bike_Male_Total,Bike_Sidewalk_Total,Bike_ContraFlow_Total,Bike_Helmet_Total,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female_Total,Scooter_Male_Total,Scooter_Sidewalk_Total,Scooter_ContraFlow_Total,Scooter_Helmet_Total,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female_Total,Other_Male_Total,Other_Sidewalk_Total,Other_ContraFlow_Total,Other_Helmet_Total,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Latitude,Longitude
23-11,Broadway,College St,Alpine St,Broadway bw College St & Alpine St,Path,1923,564,1359,4,12,849,191,658,1,4,1074,373,701,3,8,145,0,139,29,3,19,107,6,101,24,2,8,38,0,38,5,1,11,21,1,20,6,1,0,14,1,13,3,0,0,7,0,7,3,1,0,5,2,3,3,0,2,3,2,1,3,0,0,2,0,2,2,0,0,34.063954,-118.2372214
23-12,Canoga Av,Gault St,Sherman Way,Canoga Av bw Gault St & Sherman Way,Path,201,23,178,2,3,201,23,178,2,3,0,,,,,104,3,101,15,11,32,104,3,101,15,11,32,0,,,,,,18,1,17,4,2,2,18,1,17,4,2,2,0,,,,,,4,0,4,3,2,0,4,0,4,1,2,0,0,,,,,,34.1992185,-118.5977179
23-13,Central Ave,103rd Pl,104th St,Central Ave bw 103rd Pl & 104th St,Lane,377,159,218,12,7,279,118,161,7,6,98,41,57,5,1,69,3,66,34,1,13,58,3,55,31,0,12,11,0,11,3,1,1,4,0,4,2,0,0,3,0,3,2,0,0,1,0,1,0,0,0,5,1,4,4,0,1,4,1,3,4,0,0,1,0,1,1,0,0,33.9426001,-118.2543787
23-14,Central Ave,Jefferson Blvd,34th St,Central Ave bw Jefferson Blvd & 34th St,None,503,132,371,5,7,400,110,290,5,7,103,22,81,0,0,168,4,164,130,6,2,126,4,122,105,2,2,42,0,42,25,4,0,16,2,14,10,1,0,15,2,13,10,0,0,1,0,1,0,1,0,4,1,3,2,0,2,2,0,2,2,0,0,2,1,1,2,0,0,34.0115995,-118.2565264
23-15,Cesar E Chavez Ave,Soto St,Mathews St,Cesar E Chavez Ave bw Soto St & Mathews St,None,1773,584,1189,11,24,1016,305,711,3,15,757,279,478,8,9,51,2,49,31,1,2,29,2,27,15,0,0,22,0,22,16,1,2,13,1,12,10,0,0,10,1,9,7,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0468065,-118.2078029
23-16,Colorado Blvd,Caspar Ave,Maywood Ave,Colorado Blvd bw Caspar Ave & Maywood Ave,Lane,1267,770,497,1,21,730,411,319,1,15,537,359,178,0,6,46,0,46,7,4,27,34,0,34,7,3,19,12,0,12,0,1,8,2,0,2,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,6,1,5,5,0,1,5,1,4,5,0,0,1,0,1,1,0,0,34.1392168,-118.2130426
23-17,Compton Blvd,103rd St,104th St,Compton Blvd bw 103rd St & 104th St,Lane,260,127,133,4,8,217,110,107,2,7,43,17,26,2,1,47,5,42,19,8,3,37,4,33,14,8,3,10,1,9,5,0,0,3,0,3,2,0,0,3,0,3,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,33.9432182,-118.2462613
23-18,Crenshaw Blvd,Vernon Ave,48th St,Crenshaw Blvd bw Vernon Ave & 48th St,None,281,55,226,1,5,253,48,205,1,5,28,7,21,0,0,46,3,43,30,1,10,31,2,29,19,1,9,15,1,14,11,0,1,6,2,4,3,0,0,5,1,4,2,0,0,1,1,0,1,0,0,6,0,6,5,0,0,6,0,6,5,0,0,0,0,0,0,0,0,34.0036589,-118.331906
23-19,Culver Blvd,Inglewood Blvd,Centinela Ave,Culver Blvd bw Inglewood Blvd & Centinela Ave,Path,139,51,88,0,5,110,44,66,0,4,29,7,22,0,1,16,1,15,6,0,5,14,1,13,5,0,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.995199,-118.417527
23-20,Exposition Blvd,Crenshaw Blvd,11th Ave,Exposition Blvd bw Crenshaw Blvd & 11th Ave,Lane,78,30,48,0,0,60,22,38,0,0,18,8,10,0,0,93,6,87,11,3,53,76,5,71,8,3,43,17,1,16,3,0,10,17,3,14,6,2,1,14,2,12,6,2,1,3,1,2,0,0,0,4,1,3,3,0,1,3,1,2,3,0,0,1,0,1,0,0,0,34.022499,-118.334222
23-22,Figueroa St,30th St,31st St,Figueroa St bw 30th St & 31st St,Protected Lane,1416,566,850,4,4,1058,458,600,4,4,358,108,250,0,0,393,41,352,44,54,102,296,34,262,28,36,89,97,7,90,16,18,13,272,44,228,38,57,17,218,37,181,29,46,15,54,7,47,9,11,2,101,4,97,53,15,15,88,2,86,40,13,2,13,2,11,8,2,2,34.024816,-118.278099
